requirement,component,risk,test_or_scenario,environment,evidence,status
API POST /api/accounts/{id}/memberships,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API GET /api/accounts/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/accounts,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/accounts,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/analytics/{report},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API POST /api/analytics/{report},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API POST /api/approvals/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API DELETE /api/approvals/delegations/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API GET /api/approvals/delegations,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API POST /api/approvals/delegations,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API GET /api/approvals,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API GET /api/audit,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API GET /api/auth/dev,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/auth/dev,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API DELETE /api/auth/dev,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/auth/me,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API GET /api/auth/oidc/callback,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API POST /api/auth/oidc/logout,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API GET /api/auth/oidc/start,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API POST /api/catalog/add,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv,PASS
API GET /api/catalog/enrich,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/catalog/enrich,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/catalog/gudid/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API DELETE /api/catalog/gudid/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/catalog/gudid/adopt,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv,PASS
API POST /api/catalog/gudid/plan,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv,PASS
API POST /api/catalog/gudid/prune,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv,PASS
API GET /api/catalog/gudid,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/catalog/gudid,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/competitor-sizes/coverage,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv,PASS
API POST /api/competitor-sizes/import,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API GET /api/competitor-sizes/template,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API PATCH /api/competitor/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/contracts/{id}/entries,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/contracts/{id}/performance,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API GET /api/contracts/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API PATCH /api/contracts/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/contracts/{id}/terms,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API DELETE /api/contracts/{id}/terms,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; evidence/ws3 journeys,PASS
API GET /api/contracts/renewals,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API GET /api/contracts,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/contracts,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/costs/import,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API PATCH /api/crosses/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API GET /api/crosses,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/crosses,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests + browser journey,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**; evidence/ws3 journeys,PASS
API POST /api/crosswalk/publish,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv,PASS
API GET /api/crosswalk/versions,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API POST /api/documents/extract,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API POST /api/documents/extractions/{id}/import,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv,PASS
API GET /api/documents/extractions/{id},route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv; tests/**,PASS
API POST /api/documents/extractions/{id}/verify,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv,PASS
API GET /api/feeds,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv,PASS
API POST /api/feeds,route,auth/scope/validation,WS4 authz matrix (12 principals) + functional tests,in-process handler + HTTP :3103/:3104,evidence/ws4/authz-matrix.csv,PASS
