179301 | cannula | Thoracoport™ 10.5 mm for instrument up to 11 mm; Single Use Trocar; Non-conductive Sleeve
179303 | cannula | Thoracoport™ 11.5 mm for instrument up to 12 mm; Single Use Trocar; Non-conductive Sleeve
179305 | cannula | Thoracoport™ 5.5 mm for instrument up to 6 mm; Single Use Trocar; Non Conductive Sleeve
179307 | cannula | Thoracoport™ 15 mm for instrument up to 16.5 mm; Single Use Trocar; Non-conductive Sleeve
ONBFCA11ST | cannula | 11mm standard cannula only
UNVCA11STF | cannula | VersaOne™ Universal Fixation Cannula; Size: 11 mm; Length: 100 mm
UNVCA12LGF | cannula | VersaOne™ Universal Smooth Cannula; Size: 12 mm; Length: 150 mm
UNVCA12STF | cannula | VersaOne™ Universal Fixation Cannula; Size: 12 mm; Length: 100 mm
UNVCA12STS | cannula | VersaOne™ Universal Smooth Cannula; Size: 12 mm; Length: 100 mm
UNVCA5LGF | cannula | VersaOne™ Universal Fixation Cannula; Size: 5 mm; Length: 150 mm
UNVCA5SHF | cannula | VersaOne™ Universal Fixation Cannula; Size: 5 mm; Length: 70 mm
UNVCA5STF | cannula | VersaOne™ Universal Fixation Cannula; Size: 5 mm; Length: 100 mm
MS100703 | dilating-system | Mini Step™ Short 2 mm/3 mm Cannula and Dilator with Radially Expandable Sleeve
MS100705 | dilating-system | Mini Step™ Short 5 mm Cannula and Dilator with Radially Expandable Sleeve and 5 - 2/3 mm Reducer
MS100708 | dilating-system | Mini Step™ Short 7/8 mm Cannula and Dilator with Radially Expandable Sleeve and 7/8 - 5 mm Reducer
MS101003 | dilating-system | Mini Step™ 2/3 mm cannula and dilator with radially expandable sleeve
MS101005 | dilating-system | Mini Step™ 5 mm cannula and dilator with radially expandable sleeve and 5 - 2/3 mm reducer
MS101008 | dilating-system | Mini Step™ 7 mm/8 mm cannula and dilator with radially expandable sleeve and 7/8 - 5 mm reducer
S100700 | dilating-system | Step™ Short Radially Expandable Sleeve
S100705 | dilating-system | Step™ Short; 5 mm cannula and dilator with radially expandable sleeve
S100710 | dilating-system | Step™ Short; 10 mm cannula and dilator with radially expandable sleeve and 5 - 10 mm reducer
S100712 | dilating-system | Step™ Short; 12 mm cannula and dilator with radially expandable sleeve and 12 - 15 mm reducer
S101000 | dilating-system | Step™ Radially Expandable Sleeve
S101005 | dilating-system | Step™ 5 mm cannula and dilator with radially expandable sleeve
S101010 | dilating-system | Step™ 10 mm cannula and dilator with radially expandable sleeve and 5 - 10 mm reducer
S101012 | dilating-system | Step™ 12 mm cannula and dilator with radially expandable sleeve and 12 - 15 mm reducer
VS100700 | dilating-system | VersaStep™ Short Radially Expandable Sleeve
VS100705 | dilating-system | VersaStep™ Short 5 mm Cannula and Dilator with Radially Expandable Sleeve
