"page","width","status","scrollWidth","clientWidth","hScroll","sidebarVisible"
"/","1440","200","1440","1440","0","1"
"/requests","1440","200","1440","1440","0","1"
"/requests/new","1440","200","1440","1440","0","1"
"/requests/[id]","1440","200","1440","1440","0","1"
"/proposals","1440","200","1440","1440","0","1"
"/proposals/[id]","1440","200","1440","1440","0","1"
"/approvals","1440","200","1440","1440","0","1"
"/accounts","1440","200","1440","1440","0","1"
"/accounts/[id]","1440","200","1440","1440","0","1"
"/contracts","1440","200","1440","1440","0","1"
"/contracts/[id]","1440","200","1440","1440","0","1"
"/intelligence","1440","200","1440","1440","0","1"
"/intelligence/bids","1440","200","1440","1440","0","1"
"/intelligence/extractions/[id]","1440","200","1440","1440","0","1"
"/analytics","1440","200","1440","1440","0","1"
"/catalog","1440","200","1440","1440","0","1"
"/catalog/gudid","1440","200","1440","1440","0","1"
"/crosses","1440","200","1440","1440","0","1"
"/notifications","1440","200","1440","1440","0","1"
"/settings","1440","200","1440","1440","0","1"
"/settings/integrations","1440","200","1440","1440","0","1"
"/settings/pricing","1440","200","1440","1440","0","1"
"/","1024","200","1024","1024","0","1"
"/requests","1024","200","1024","1024","0","1"
"/requests/new","1024","200","1024","1024","0","1"
"/requests/[id]","1024","200","1024","1024","0","1"
"/proposals","1024","200","1024","1024","0","1"
"/proposals/[id]","1024","200","1024","1024","0","1"
"/approvals","1024","200","1024","1024","0","1"
"/accounts","1024","200","1024","1024","0","1"
"/accounts/[id]","1024","200","1024","1024","0","1"
"/contracts","1024","200","1024","1024","0","1"
"/contracts/[id]","1024","200","1024","1024","0","1"
"/intelligence","1024","200","1024","1024","0","1"
"/intelligence/bids","1024","200","1024","1024","0","1"
"/intelligence/extractions/[id]","1024","200","1024","1024","0","1"
"/analytics","1024","200","1024","1024","0","1"
"/catalog","1024","200","1024","1024","0","1"
"/catalog/gudid","1024","200","1024","1024","0","1"
"/crosses","1024","200","1024","1024","0","1"
"/notifications","1024","200","1024","1024","0","1"
"/settings","1024","200","1024","1024","0","1"
"/settings/integrations","1024","200","1024","1024","0","1"
"/settings/pricing","1024","200","1024","1024","0","1"
"/","768","200","768","768","0","1"
"/requests","768","200","768","768","0","1"
"/requests/new","768","200","768","768","0","1"
"/requests/[id]","768","200","768","768","0","1"
"/proposals","768","200","768","768","0","1"
"/proposals/[id]","768","200","768","768","0","1"
"/approvals","768","200","768","768","0","1"
"/accounts","768","200","768","768","0","1"
"/accounts/[id]","768","200","768","768","0","1"
"/contracts","768","200","768","768","0","1"
"/contracts/[id]","768","200","768","768","0","1"
"/intelligence","768","200","768","768","0","1"
"/intelligence/bids","768","200","768","768","0","1"
"/intelligence/extractions/[id]","768","200","768","768","0","1"
"/analytics","768","200","768","768","0","1"
"/catalog","768","200","768","768","0","1"
"/catalog/gudid","768","200","768","768","0","1"
"/crosses","768","200","768","768","0","1"
"/notifications","768","200","768","768","0","1"
"/settings","768","200","768","768","0","1"
"/settings/integrations","768","200","768","768","0","1"
"/settings/pricing","768","200","768","768","0","1"
"/","390","200","390","390","0","1"
"/requests","390","200","390","390","0","1"
"/requests/new","390","200","390","390","0","1"
"/requests/[id]","390","200","390","390","0","1"
"/proposals","390","200","390","390","0","1"
"/proposals/[id]","390","200","390","390","0","1"
"/approvals","390","200","390","390","0","1"
"/accounts","390","200","390","390","0","1"
"/accounts/[id]","390","200","390","390","0","1"
"/contracts","390","200","390","390","0","1"
"/contracts/[id]","390","200","390","390","0","1"
"/intelligence","390","200","390","390","0","1"
"/intelligence/bids","390","200","390","390","0","1"
"/intelligence/extractions/[id]","390","200","390","390","0","1"
"/analytics","390","200","390","390","0","1"
"/catalog","390","200","390","390","0","1"
"/catalog/gudid","390","200","390","390","0","1"
"/crosses","390","200","390","390","0","1"
"/notifications","390","200","390","390","0","1"
"/settings","390","200","390","390","0","1"
"/settings/integrations","390","200","390","390","0","1"
"/settings/pricing","390","200","390","390","0","1"
